Spread,Trade,Open,High,Low,Close
1*CLJ22-2*CLK22+1*CLM22-1*CLV22+2*CLX22-1*CLZ22,Long,-0.02,0.02,-0.05,-0.02
1*CLJ21-2*CLK21+1*CLM21-1*CLV21+2*CLX21-1*CLZ21,Long,-0.02,0.03,-0.06,-0.04
1*CLJ20-2*CLK20+1*CLM20-1*CLV20+2*CLX20-1*CLZ20,Long,0.02,0.02,-0.05,0
1*CLJ19-2*CLK19+1*CLM19-1*CLV19+2*CLX19-1*CLZ19,Long,0.03,0.03,-0.05,-0.01
1*CLJ18-2*CLK18+1*CLM18-1*CLV18+2*CLX18-1*CLZ18,Long,0,0,-0.06,-0.02
1*CLJ17-2*CLK17+1*CLM17-1*CLV17+2*CLX17-1*CLZ17,Long,-0.01,0,-0.1,-0.09
1*CLJ16-2*CLK16+1*CLM16-1*CLV16+2*CLX16-1*CLZ16,Long,0.01,0.04,-0.11,-0.04
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLM24-2*CLN24+1*CLQ24-1*CLZ24+2*CLF25-1*CLG25,Long,0,0.03,-0.02,0.01
1*CLM23-2*CLN23+1*CLQ23-1*CLZ23+2*CLF24-1*CLG24,Long,0.03,0.05,-0.03,-0.01
1*CLM22-2*CLN22+1*CLQ22-1*CLZ22+2*CLF23-1*CLG23,Long,0.01,0.03,-0.03,-0.01
1*CLM21-2*CLN21+1*CLQ21-1*CLZ21+2*CLF22-1*CLG22,Long,0,0.02,-0.06,-0.06
1*CLM20-2*CLN20+1*CLQ20-1*CLZ20+2*CLF21-1*CLG21,Long,0.01,0.06,-0.02,0.06
1*CLM19-2*CLN19+1*CLQ19-1*CLZ19+2*CLF20-1*CLG20,Long,0.01,0.01,-0.04,-0.02
1*CLM18-2*CLN18+1*CLQ18-1*CLZ18+2*CLF19-1*CLG19,Long,0,0.02,-0.03,-0.01
1*CLM17-2*CLN17+1*CLQ17-1*CLZ17+2*CLF18-1*CLG18,Long,0.01,0.01,-0.03,0.01
1*CLM16-2*CLN16+1*CLQ16-1*CLZ16+2*CLF17-1*CLG17,Long,0,0.01,-0.04,-0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLN24-2*CLQ24+1*CLU24-1*CLF25+2*CLG25-1*CLH25,Short,-0.03,0.03,-0.04,0
1*CLN23-2*CLQ23+1*CLU23-1*CLF24+2*CLG24-1*CLH24,Short,0,0.08,-0.01,0.04
1*CLN22-2*CLQ22+1*CLU22-1*CLF23+2*CLG23-1*CLH23,Short,0.01,0.02,-0.02,-0.01
1*CLN21-2*CLQ21+1*CLU21-1*CLF22+2*CLG22-1*CLH22,Short,-0.02,0.02,-0.05,-0.03
1*CLN20-2*CLQ20+1*CLU20-1*CLF21+2*CLG21-1*CLH21,Short,0,0.03,-0.04,-0.04
1*CLN19-2*CLQ19+1*CLU19-1*CLF20+2*CLG20-1*CLH20,Short,0.01,0.04,-0.03,0.03
1*CLN18-2*CLQ18+1*CLU18-1*CLF19+2*CLG19-1*CLH19,Short,-0.01,0.02,-0.02,0
1*CLN17-2*CLQ17+1*CLU17-1*CLF18+2*CLG18-1*CLH18,Short,0.03,0.04,-0.01,0.02
1*CLN16-2*CLQ16+1*CLU16-1*CLF17+2*CLG17-1*CLH17,Short,-0.02,0.02,-0.04,0.02
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLU24-2*CLV24+1*CLX24-1*CLZ24+2*CLF25-1*CLG25,Long,0.01,0.03,-0.01,0
1*CLU23-2*CLV23+1*CLX23-1*CLZ23+2*CLF24-1*CLG24,Long,0.01,0.05,-0.02,0
1*CLU22-2*CLV22+1*CLX22-1*CLZ22+2*CLF23-1*CLG23,Long,0.01,0.03,-0.01,0
1*CLU21-2*CLV21+1*CLX21-1*CLZ21+2*CLF22-1*CLG22,Long,0,0.02,-0.05,-0.04
1*CLU20-2*CLV20+1*CLX20-1*CLZ20+2*CLF21-1*CLG21,Long,0.01,0.04,-0.03,0.01
1*CLU19-2*CLV19+1*CLX19-1*CLZ19+2*CLF20-1*CLG20,Long,-0.03,0.02,-0.05,-0.01
1*CLU18-2*CLV18+1*CLX18-1*CLZ18+2*CLF19-1*CLG19,Long,0,0.01,-0.02,0
1*CLU17-2*CLV17+1*CLX17-1*CLZ17+2*CLF18-1*CLG18,Long,0.06,0.06,0,0.04
1*CLU16-2*CLV16+1*CLX16-1*CLZ16+2*CLF17-1*CLG17,Long,0.01,0.02,-0.02,0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-2*CLX24+1*CLZ24-1*CLF24+2*CLG24-1*CLH24,Short,0.01,0.04,-0.04,-0.04
1*CLV23-2*CLX23+1*CLZ23-1*CLF23+2*CLG23-1*CLH23,Short,-0.24,0.03,-0.28,0.03
1*CLV22-2*CLX22+1*CLZ22-1*CLF22+2*CLG22-1*CLH22,Short,0,0.02,-0.09,0.02
1*CLV21-2*CLX21+1*CLZ21-1*CLF21+2*CLG21-1*CLH21,Short,0,0.05,-0.03,0.02
1*CLV20-2*CLX20+1*CLZ20-1*CLF20+2*CLG20-1*CLH20,Short,0.02,0.08,-0.07,0.01
1*CLV19-2*CLX19+1*CLZ19-1*CLF19+2*CLG19-1*CLH19,Short,-0.05,0.04,-0.11,0
1*CLV18-2*CLX18+1*CLZ18-1*CLF18+2*CLG18-1*CLH18,Short,0.03,0.11,0.01,0.09
1*CLV17-2*CLX17+1*CLZ17-1*CLF17+2*CLG17-1*CLH17,Short,0.06,0.13,0.05,0.06
1*CLV16-2*CLX16+1*CLZ16-1*CLF16+2*CLG16-1*CLH16,Short,0.05,0.16,-0.01,0.08
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-2*CLX24+1*CLZ24-1*CLF25+2*CLG25-1*CLH25,Short,0.08,0.2,0.01,0.12
1*CLV23-2*CLX23+1*CLZ23-1*CLF24+2*CLG24-1*CLH24,Short,-0.02,0.04,-0.12,-0.12
1*CLV22-2*CLX22+1*CLZ22-1*CLF23+2*CLG23-1*CLH23,Short,0.11,0.25,-0.43,-0.15
1*CLV21-2*CLX21+1*CLZ21-1*CLF22+2*CLG22-1*CLH22,Short,0.14,0.14,-0.18,-0.05
1*CLV20-2*CLX20+1*CLZ20-1*CLF21+2*CLG21-1*CLH21,Short,-0.03,0.07,-0.06,0.03
1*CLV19-2*CLX19+1*CLZ19-1*CLF20+2*CLG20-1*CLH20,Short,-0.04,-0.01,-0.22,-0.11
1*CLV18-2*CLX18+1*CLZ18-1*CLF19+2*CLG19-1*CLH19,Short,0.04,0.16,-0.06,0.03
1*CLV17-2*CLX17+1*CLZ17-1*CLF18+2*CLG18-1*CLH18,Short,0.05,0.07,-0.06,-0.05
1*CLV16-2*CLX16+1*CLZ16-1*CLF17+2*CLG17-1*CLH17,Short,0.01,0.08,0,0.05
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-2*CLX24+1*CLZ24-1*CLG24+2*CLH24-1*CLJ24,Short,0,0.04,-0.03,-0.03
1*CLV23-2*CLX23+1*CLZ23-1*CLG23+2*CLH23-1*CLJ23,Short,-0.19,0,-0.23,-0.01
1*CLV22-2*CLX22+1*CLZ22-1*CLG22+2*CLH22-1*CLJ22,Short,0,0.03,-0.04,0.03
1*CLV21-2*CLX21+1*CLZ21-1*CLG21+2*CLH21-1*CLJ21,Short,0.02,0.06,-0.02,0.04
1*CLV20-2*CLX20+1*CLZ20-1*CLG20+2*CLH20-1*CLJ20,Short,0.01,0.06,-0.03,0
1*CLV19-2*CLX19+1*CLZ19-1*CLG19+2*CLH19-1*CLJ19,Short,-0.03,0.03,-0.09,0.01
1*CLV18-2*CLX18+1*CLZ18-1*CLG18+2*CLH18-1*CLJ18,Short,0.03,0.07,0.01,0.06
1*CLV17-2*CLX17+1*CLZ17-1*CLG17+2*CLH17-1*CLJ17,Short,0.06,0.11,0.05,0.08
1*CLV16-2*CLX16+1*CLZ16-1*CLG16+2*CLH16-1*CLJ16,Short,0.01,0.12,-0.01,0.07
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-2*CLX24+1*CLZ24-1*CLH24+2*CLJ24-1*CLK24,Short,0,0.02,-0.02,-0.02
1*CLV23-2*CLX23+1*CLZ23-1*CLH23+2*CLJ23-1*CLK23,Short,-0.16,0.02,-0.17,-0.02
1*CLV22-2*CLX22+1*CLZ22-1*CLH22+2*CLJ22-1*CLK22,Short,0,0.05,-0.01,0.05
1*CLV21-2*CLX21+1*CLZ21-1*CLH21+2*CLJ21-1*CLK21,Short,-0.02,0.05,-0.03,0.03
1*CLV20-2*CLX20+1*CLZ20-1*CLH20+2*CLJ20-1*CLK20,Short,0,0.06,-0.01,0
1*CLV19-2*CLX19+1*CLZ19-1*CLH19+2*CLJ19-1*CLK19,Short,-0.05,0.05,-0.05,0.01
1*CLV18-2*CLX18+1*CLZ18-1*CLH18+2*CLJ18-1*CLK18,Short,0.01,0.06,0.01,0.04
1*CLV17-2*CLX17+1*CLZ17-1*CLH17+2*CLJ17-1*CLK17,Short,0.02,0.11,0.02,0.1
1*CLV16-2*CLX16+1*CLZ16-1*CLH16+2*CLJ16-1*CLK16,Short,0,0.12,-0.04,0.07
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-2*CLX24+1*CLZ24-1*CLJ24+2*CLK24-1*CLM24,Short,0.03,0.04,-0.03,0
1*CLV23-2*CLX23+1*CLZ23-1*CLJ23+2*CLK23-1*CLM23,Short,-0.1,0.03,-0.11,-0.01
1*CLV22-2*CLX22+1*CLZ22-1*CLJ22+2*CLK22-1*CLM22,Short,0.02,0.05,-0.02,0.02
1*CLV21-2*CLX21+1*CLZ21-1*CLJ21+2*CLK21-1*CLM21,Short,0.02,0.06,-0.03,0.04
1*CLV20-2*CLX20+1*CLZ20-1*CLJ20+2*CLK20-1*CLM20,Short,-0.02,0.05,-0.02,0
1*CLV19-2*CLX19+1*CLZ19-1*CLJ19+2*CLK19-1*CLM19,Short,-0.03,0.05,-0.03,0.01
1*CLV18-2*CLX18+1*CLZ18-1*CLJ18+2*CLK18-1*CLM18,Short,0,0.06,0,0.02
1*CLV17-2*CLX17+1*CLZ17-1*CLJ17+2*CLK17-1*CLM17,Short,0.01,0.1,0,0.09
1*CLV16-2*CLX16+1*CLZ16-1*CLJ16+2*CLK16-1*CLM16,Short,-0.01,0.11,-0.04,0.04
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLZ24-2*CLF25+1*CLG25-1*CLM24+2*CLN24-1*CLQ24,Short,0,0.02,-0.03,-0.01
1*CLZ23-2*CLF24+1*CLG24-1*CLM23+2*CLN23-1*CLQ23,Short,-0.03,0.03,-0.05,0.01
1*CLZ22-2*CLF23+1*CLG23-1*CLM22+2*CLN22-1*CLQ22,Short,-0.01,0.03,-0.03,0.01
1*CLZ21-2*CLF22+1*CLG22-1*CLM21+2*CLN21-1*CLQ21,Short,0,0.06,-0.02,0.06
1*CLZ20-2*CLF21+1*CLG21-1*CLM20+2*CLN20-1*CLQ20,Short,-0.01,0.02,-0.06,-0.06
1*CLZ19-2*CLF20+1*CLG20-1*CLM19+2*CLN19-1*CLQ19,Short,-0.01,0.04,-0.01,0.02
1*CLZ18-2*CLF19+1*CLG19-1*CLM18+2*CLN18-1*CLQ18,Short,0,0.03,-0.02,0.01
1*CLZ17-2*CLF18+1*CLG18-1*CLM17+2*CLN17-1*CLQ17,Short,-0.01,0.03,-0.01,-0.01
1*CLZ16-2*CLF17+1*CLG17-1*CLM16+2*CLN16-1*CLQ16,Short,0,0.04,-0.01,0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLZ24-2*CLF25+1*CLG25-1*CLU24+2*CLV24-1*CLX24,Short,-0.01,0.01,-0.03,0
1*CLZ23-2*CLF24+1*CLG24-1*CLU23+2*CLV23-1*CLX23,Short,-0.01,0.02,-0.05,0
1*CLZ22-2*CLF23+1*CLG23-1*CLU22+2*CLV22-1*CLX22,Short,-0.01,0.01,-0.03,0
1*CLZ21-2*CLF22+1*CLG22-1*CLU21+2*CLV21-1*CLX21,Short,0,0.05,-0.02,0.04
1*CLZ20-2*CLF21+1*CLG21-1*CLU20+2*CLV20-1*CLX20,Short,-0.01,0.03,-0.04,-0.01
1*CLZ19-2*CLF20+1*CLG20-1*CLU19+2*CLV19-1*CLX19,Short,0.03,0.05,-0.02,0.01
1*CLZ18-2*CLF19+1*CLG19-1*CLU18+2*CLV18-1*CLX18,Short,0,0.02,-0.01,0
1*CLZ17-2*CLF18+1*CLG18-1*CLU17+2*CLV17-1*CLX17,Short,-0.06,0,-0.06,-0.04
1*CLZ16-2*CLF17+1*CLG17-1*CLU16+2*CLV16-1*CLX16,Short,-0.01,0.02,-0.02,-0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOH24-2*HOJ24+1*HOK24-1*HOH25+2*HOJ25-1*HOK25,Short,-0.0009,0.0095,-0.0009,0.0074
1*HOH23-2*HOJ23+1*HOK23-1*HOH24+2*HOJ24-1*HOK24,Short,0.0275,0.0275,0.0029,0.0068
1*HOH22-2*HOJ22+1*HOK22-1*HOH23+2*HOJ23-1*HOK23,Short,-0.0024,0.0002,-0.0028,-0.0021
1*HOH21-2*HOJ21+1*HOK21-1*HOH22+2*HOJ22-1*HOK22,Short,-0.0008,0.0003,-0.0067,-0.0061
1*HOH20-2*HOJ20+1*HOK20-1*HOH21+2*HOJ21-1*HOK21,Short,-0.0003,0.0024,-0.0021,0.0013
1*HOH19-2*HOJ19+1*HOK19-1*HOH20+2*HOJ20-1*HOK20,Short,0.0029,0.0062,0.0023,0.0048
1*HOH18-2*HOJ18+1*HOK18-1*HOH19+2*HOJ19-1*HOK19,Short,-0.0016,0.0021,-0.0036,0.0021
1*HOH17-2*HOJ17+1*HOK17-1*HOH18+2*HOJ18-1*HOK18,Short,-0.0045,-0.0027,-0.0049,-0.0039
1*HOH16-2*HOJ16+1*HOK16-1*HOH17+2*HOJ17-1*HOK17,Short,0.0049,0.009,-0.0031,0.0003
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOH25-2*HOJ25+1*HOK25-1*HOH24+2*HOJ24-1*HOK24,Long,0.0009,0.0009,-0.0095,-0.0074
1*HOH24-2*HOJ24+1*HOK24-1*HOH23+2*HOJ23-1*HOK23,Long,-0.0275,-0.0029,-0.0275,-0.0068
1*HOH23-2*HOJ23+1*HOK23-1*HOH22+2*HOJ22-1*HOK22,Long,0.0024,0.0028,-0.0002,0.0021
1*HOH22-2*HOJ22+1*HOK22-1*HOH21+2*HOJ21-1*HOK21,Long,0.0008,0.0067,-0.0003,0.0061
1*HOH21-2*HOJ21+1*HOK21-1*HOH20+2*HOJ20-1*HOK20,Long,0.0003,0.0021,-0.0024,-0.0013
1*HOH20-2*HOJ20+1*HOK20-1*HOH19+2*HOJ19-1*HOK19,Long,-0.0029,-0.0023,-0.0062,-0.0048
1*HOH19-2*HOJ19+1*HOK19-1*HOH18+2*HOJ18-1*HOK18,Long,0.0016,0.0036,-0.0021,-0.0021
1*HOH18-2*HOJ18+1*HOK18-1*HOH17+2*HOJ17-1*HOK17,Long,0.0045,0.0049,0.0027,0.0039
1*HOH17-2*HOJ17+1*HOK17-1*HOH16+2*HOJ16-1*HOK16,Long,-0.0049,0.0031,-0.009,-0.0003
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOH25-2*HOJ25+1*HOK25-1*HOJ24+2*HOK24-1*HOM24,Long,0.0048,0.0048,-0.0006,0.0042
1*HOH24-2*HOJ24+1*HOK24-1*HOJ23+2*HOK23-1*HOM23,Long,-0.0115,0.0049,-0.0115,-0.0079
1*HOH23-2*HOJ23+1*HOK23-1*HOJ22+2*HOK22-1*HOM22,Long,0.0019,0.0048,0.001,0.004
1*HOH22-2*HOJ22+1*HOK22-1*HOJ21+2*HOK21-1*HOM21,Long,0.0018,0.0083,0.0013,0.0083
1*HOH21-2*HOJ21+1*HOK21-1*HOJ20+2*HOK20-1*HOM20,Long,0.0008,0.0027,-0.0004,0.0013
1*HOH20-2*HOJ20+1*HOK20-1*HOJ19+2*HOK19-1*HOM19,Long,-0.0015,0.001,-0.0027,0.0008
1*HOH19-2*HOJ19+1*HOK19-1*HOJ18+2*HOK18-1*HOM18,Long,0.002,0.0062,0.002,0.0028
1*HOH18-2*HOJ18+1*HOK18-1*HOJ17+2*HOK17-1*HOM17,Long,0.0049,0.0083,0.0045,0.0071
1*HOH17-2*HOJ17+1*HOK17-1*HOJ16+2*HOK16-1*HOM16,Long,0.001,0.0075,-0.0026,0.0066
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOH25-2*HOJ25+1*HOK25-1*HOM24+2*HON24-1*HOQ24,Long,0.0058,0.0114,0.0026,0.0104
1*HOH24-2*HOJ24+1*HOK24-1*HOM23+2*HON23-1*HOQ23,Long,-0.0051,0.0122,-0.0051,0.004
1*HOH23-2*HOJ23+1*HOK23-1*HOM22+2*HON22-1*HOQ22,Long,0.0041,0.0071,0.0039,0.0065
1*HOH22-2*HOJ22+1*HOK22-1*HOM21+2*HON21-1*HOQ21,Long,0.005,0.0105,0.0043,0.0103
1*HOH21-2*HOJ21+1*HOK21-1*HOM20+2*HON20-1*HOQ20,Long,0.0037,0.0046,0.0028,0.0034
1*HOH20-2*HOJ20+1*HOK20-1*HOM19+2*HON19-1*HOQ19,Long,0.0009,0.0024,-0.0006,-0.0006
1*HOH19-2*HOJ19+1*HOK19-1*HOM18+2*HON18-1*HOQ18,Long,0.0053,0.0055,0.0038,0.0052
1*HOH18-2*HOJ18+1*HOK18-1*HOM17+2*HON17-1*HOQ17,Long,0.0071,0.008,0.0061,0.007
1*HOH17-2*HOJ17+1*HOK17-1*HOM16+2*HON16-1*HOQ16,Long,0.0062,0.0107,0.001,0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOH25-2*HOJ25+1*HOK25-1*HOV24+2*HOX24-1*HOZ24,Long,0.0116,0.016,0.0085,0.0127
1*HOH24-2*HOJ24+1*HOK24-1*HOV23+2*HOX23-1*HOZ23,Long,0.0103,0.0515,0.0095,0.0515
1*HOH23-2*HOJ23+1*HOK23-1*HOV22+2*HOX22-1*HOZ22,Long,0.0237,0.0255,0.0018,0.0182
1*HOH22-2*HOJ22+1*HOK22-1*HOV21+2*HOX21-1*HOZ21,Long,0.0038,0.0084,0.0038,0.0062
1*HOH21-2*HOJ21+1*HOK21-1*HOV20+2*HOX20-1*HOZ20,Long,0.0059,0.0062,0.0017,0.0029
1*HOH20-2*HOJ20+1*HOK20-1*HOV19+2*HOX19-1*HOZ19,Long,0.0071,0.0082,0.0055,0.0065
1*HOH19-2*HOJ19+1*HOK19-1*HOV18+2*HOX18-1*HOZ18,Long,0.0061,0.0097,0.0054,0.0085
1*HOH18-2*HOJ18+1*HOK18-1*HOV17+2*HOX17-1*HOZ17,Long,0.0036,0.007,0.0014,0.007
1*HOH17-2*HOJ17+1*HOK17-1*HOV16+2*HOX16-1*HOZ16,Long,0.005,0.0099,0.0047,0.0059
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOJ24-2*HOK24+1*HOM24-1*HOH25+2*HOJ25-1*HOK25,Short,-0.0048,0.0006,-0.0048,-0.0042
1*HOJ23-2*HOK23+1*HOM23-1*HOH24+2*HOJ24-1*HOK24,Short,0.0115,0.0115,-0.0049,0.0079
1*HOJ22-2*HOK22+1*HOM22-1*HOH23+2*HOJ23-1*HOK23,Short,-0.0019,-0.001,-0.0048,-0.004
1*HOJ21-2*HOK21+1*HOM21-1*HOH22+2*HOJ22-1*HOK22,Short,-0.0018,-0.0013,-0.0083,-0.0083
1*HOJ20-2*HOK20+1*HOM20-1*HOH21+2*HOJ21-1*HOK21,Short,-0.0008,0.0004,-0.0027,-0.0013
1*HOJ19-2*HOK19+1*HOM19-1*HOH20+2*HOJ20-1*HOK20,Short,0.0015,0.0027,-0.001,-0.0008
1*HOJ18-2*HOK18+1*HOM18-1*HOH19+2*HOJ19-1*HOK19,Short,-0.002,-0.002,-0.0062,-0.0028
