Spread,Trade,Open,High,Low,Close
1*HOM16-2*HON16+1*HOQ16-1*HOH17+2*HOJ17-1*HOK17,Short,-0.0062,-0.001,-0.0107,-0.01
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOM24-2*HON24+1*HOQ24-1*HOU24+2*HOV24-1*HOX24,Short,0.0043,0.0132,0.0037,0.0044
1*HOM23-2*HON23+1*HOQ23-1*HOU23+2*HOV23-1*HOX23,Short,0.0051,0.0059,-0.0081,0.0022
1*HOM22-2*HON22+1*HOQ22-1*HOU22+2*HOV22-1*HOX22,Short,0.0018,0.0019,0.0004,0.0019
1*HOM21-2*HON21+1*HOQ21-1*HOU21+2*HOV21-1*HOX21,Short,-0.0004,0.0005,-0.001,0.0001
1*HOM20-2*HON20+1*HOQ20-1*HOU20+2*HOV20-1*HOX20,Short,0.0009,0.0024,0.0009,0.0014
1*HOM19-2*HON19+1*HOQ19-1*HOU19+2*HOV19-1*HOX19,Short,0.0019,0.0055,-0.001,0.0055
1*HOM18-2*HON18+1*HOQ18-1*HOU18+2*HOV18-1*HOX18,Short,-0.0006,0.0021,-0.0006,0.0005
1*HOM17-2*HON17+1*HOQ17-1*HOU17+2*HOV17-1*HOX17,Short,0.0013,0.0025,0.001,0.0015
1*HOM16-2*HON16+1*HOQ16-1*HOU16+2*HOV16-1*HOX16,Short,0.0017,0.0042,0.0007,0.0009
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOM25-2*HON25+1*HOQ25-1*HOU25+2*HOV25-1*HOX25,Short,0.0062,0.0082,0.0061,0.0068
1*HOM24-2*HON24+1*HOQ24-1*HOU24+2*HOV24-1*HOX24,Short,0.0043,0.0132,0.0037,0.0044
1*HOM23-2*HON23+1*HOQ23-1*HOU23+2*HOV23-1*HOX23,Short,0.0051,0.0059,-0.0081,0.0022
1*HOM22-2*HON22+1*HOQ22-1*HOU22+2*HOV22-1*HOX22,Short,0.0018,0.0019,0.0004,0.0019
1*HOM21-2*HON21+1*HOQ21-1*HOU21+2*HOV21-1*HOX21,Short,-0.0004,0.0005,-0.001,0.0001
1*HOM20-2*HON20+1*HOQ20-1*HOU20+2*HOV20-1*HOX20,Short,0.0009,0.0024,0.0009,0.0014
1*HOM19-2*HON19+1*HOQ19-1*HOU19+2*HOV19-1*HOX19,Short,0.0019,0.0055,-0.001,0.0055
1*HOM18-2*HON18+1*HOQ18-1*HOU18+2*HOV18-1*HOX18,Short,-0.0006,0.0021,-0.0006,0.0005
1*HOM17-2*HON17+1*HOQ17-1*HOU17+2*HOV17-1*HOX17,Short,0.0013,0.0025,0.001,0.0015
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOQ25-2*HOU25+1*HOV25-1*HOU24+2*HOV24-1*HOX24,Short,0.001,0.0093,0.0005,0.0037
1*HOQ24-2*HOU24+1*HOV24-1*HOU23+2*HOV23-1*HOX23,Short,-0.0073,-0.0042,-0.0187,-0.0161
1*HOQ23-2*HOU23+1*HOV23-1*HOU22+2*HOV22-1*HOX22,Short,0.0013,0.003,0.0009,0.0015
1*HOQ22-2*HOU22+1*HOV22-1*HOU21+2*HOV21-1*HOX21,Short,0.0002,0.0002,-0.0015,-0.0007
1*HOQ21-2*HOU21+1*HOV21-1*HOU20+2*HOV20-1*HOX20,Short,0.0013,0.0029,0.0002,0.0015
1*HOQ20-2*HOU20+1*HOV20-1*HOU19+2*HOV19-1*HOX19,Short,-0.0019,0.0004,-0.0036,0.0004
1*HOQ19-2*HOU19+1*HOV19-1*HOU18+2*HOV18-1*HOX18,Short,-0.0018,0.0005,-0.0021,0.0002
1*HOQ18-2*HOU18+1*HOV18-1*HOU17+2*HOV17-1*HOX17,Short,0,0,-0.0016,-0.001
1*HOQ17-2*HOU17+1*HOV17-1*HOU16+2*HOV16-1*HOX16,Short,-0.0011,0.0014,-0.0017,-0.0004
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOU24-2*HOV24+1*HOX24-1*HOM24+2*HON24-1*HOQ24,Long,-0.0043,-0.0037,-0.0132,-0.0044
1*HOU23-2*HOV23+1*HOX23-1*HOM23+2*HON23-1*HOQ23,Long,-0.0051,0.0081,-0.0059,-0.0022
1*HOU22-2*HOV22+1*HOX22-1*HOM22+2*HON22-1*HOQ22,Long,-0.0018,-0.0004,-0.0019,-0.0019
1*HOU21-2*HOV21+1*HOX21-1*HOM21+2*HON21-1*HOQ21,Long,0.0004,0.001,-0.0005,-0.0001
1*HOU20-2*HOV20+1*HOX20-1*HOM20+2*HON20-1*HOQ20,Long,-0.0009,-0.0009,-0.0024,-0.0014
1*HOU19-2*HOV19+1*HOX19-1*HOM19+2*HON19-1*HOQ19,Long,-0.0019,0.001,-0.0055,-0.0055
1*HOU18-2*HOV18+1*HOX18-1*HOM18+2*HON18-1*HOQ18,Long,0.0006,0.0006,-0.0021,-0.0005
1*HOU17-2*HOV17+1*HOX17-1*HOM17+2*HON17-1*HOQ17,Long,-0.0013,-0.001,-0.0025,-0.0015
1*HOU16-2*HOV16+1*HOX16-1*HOM16+2*HON16-1*HOQ16,Long,-0.0017,-0.0007,-0.0042,-0.0009
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOU24-2*HOV24+1*HOX24-1*HOQ25+2*HOU25-1*HOV25,Long,-0.001,-0.0005,-0.0093,-0.0037
1*HOU23-2*HOV23+1*HOX23-1*HOQ24+2*HOU24-1*HOV24,Long,0.0073,0.0187,0.0042,0.0161
1*HOU22-2*HOV22+1*HOX22-1*HOQ23+2*HOU23-1*HOV23,Long,-0.0013,-0.0009,-0.003,-0.0015
1*HOU21-2*HOV21+1*HOX21-1*HOQ22+2*HOU22-1*HOV22,Long,-0.0002,0.0015,-0.0002,0.0007
1*HOU20-2*HOV20+1*HOX20-1*HOQ21+2*HOU21-1*HOV21,Long,-0.0013,-0.0002,-0.0029,-0.0015
1*HOU19-2*HOV19+1*HOX19-1*HOQ20+2*HOU20-1*HOV20,Long,0.0019,0.0036,-0.0004,-0.0004
1*HOU18-2*HOV18+1*HOX18-1*HOQ19+2*HOU19-1*HOV19,Long,0.0018,0.0021,-0.0005,-0.0002
1*HOU17-2*HOV17+1*HOX17-1*HOQ18+2*HOU18-1*HOV18,Long,0,0.0016,0,0.001
1*HOU16-2*HOV16+1*HOX16-1*HOQ17+2*HOU17-1*HOV17,Long,0.0011,0.0017,-0.0014,0.0004
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOU25-2*HOV25+1*HOX25-1*HOM25+2*HON25-1*HOQ25,Long,-0.0062,-0.0061,-0.0082,-0.0068
1*HOU24-2*HOV24+1*HOX24-1*HOM24+2*HON24-1*HOQ24,Long,-0.0043,-0.0037,-0.0132,-0.0044
1*HOU23-2*HOV23+1*HOX23-1*HOM23+2*HON23-1*HOQ23,Long,-0.0051,0.0081,-0.0059,-0.0022
1*HOU22-2*HOV22+1*HOX22-1*HOM22+2*HON22-1*HOQ22,Long,-0.0018,-0.0004,-0.0019,-0.0019
1*HOU21-2*HOV21+1*HOX21-1*HOM21+2*HON21-1*HOQ21,Long,0.0004,0.001,-0.0005,-0.0001
1*HOU20-2*HOV20+1*HOX20-1*HOM20+2*HON20-1*HOQ20,Long,-0.0009,-0.0009,-0.0024,-0.0014
1*HOU19-2*HOV19+1*HOX19-1*HOM19+2*HON19-1*HOQ19,Long,-0.0019,0.001,-0.0055,-0.0055
1*HOU18-2*HOV18+1*HOX18-1*HOM18+2*HON18-1*HOQ18,Long,0.0006,0.0006,-0.0021,-0.0005
1*HOU17-2*HOV17+1*HOX17-1*HOM17+2*HON17-1*HOQ17,Long,-0.0013,-0.001,-0.0025,-0.0015
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOV24-2*HOX24+1*HOZ24-1*HOH25+2*HOJ25-1*HOK25,Short,-0.0116,-0.0085,-0.016,-0.0127
1*HOV23-2*HOX23+1*HOZ23-1*HOH24+2*HOJ24-1*HOK24,Short,-0.0103,-0.0095,-0.0515,-0.0515
1*HOV22-2*HOX22+1*HOZ22-1*HOH23+2*HOJ23-1*HOK23,Short,-0.0237,-0.0018,-0.0255,-0.0182
1*HOV21-2*HOX21+1*HOZ21-1*HOH22+2*HOJ22-1*HOK22,Short,-0.0038,-0.0038,-0.0084,-0.0062
1*HOV20-2*HOX20+1*HOZ20-1*HOH21+2*HOJ21-1*HOK21,Short,-0.0059,-0.0017,-0.0062,-0.0029
1*HOV19-2*HOX19+1*HOZ19-1*HOH20+2*HOJ20-1*HOK20,Short,-0.0071,-0.0055,-0.0082,-0.0065
1*HOV18-2*HOX18+1*HOZ18-1*HOH19+2*HOJ19-1*HOK19,Short,-0.0061,-0.0054,-0.0097,-0.0085
1*HOV17-2*HOX17+1*HOZ17-1*HOH18+2*HOJ18-1*HOK18,Short,-0.0036,-0.0014,-0.007,-0.007
1*HOV16-2*HOX16+1*HOZ16-1*HOH17+2*HOJ17-1*HOK17,Short,-0.005,-0.0047,-0.0099,-0.0059
,,,,,
Spread,Trade,Open,High,Low,Close
1*KCH25-2*KCK25+1*KCN25-1*KCZ24+2*KCH25-1*KCK25,Short,0.4,1.55,-1.5,-0.35
1*KCH24-2*KCK24+1*KCN24-1*KCZ23+2*KCH24-1*KCK24,Short,-0.65,0.2,-0.65,0
1*KCH23-2*KCK23+1*KCN23-1*KCZ22+2*KCH23-1*KCK23,Short,-0.9,0.3,-2.55,-2.3
1*KCH22-2*KCK22+1*KCN22-1*KCZ21+2*KCH22-1*KCK22,Short,1.25,1.75,0.7,1.15
1*KCH21-2*KCK21+1*KCN21-1*KCZ20+2*KCH21-1*KCK21,Short,1,1.4,-0.65,-0.65
1*KCH20-2*KCK20+1*KCN20-1*KCZ19+2*KCH20-1*KCK20,Short,1.25,1.25,0.9,0.9
1*KCH19-2*KCK19+1*KCN19-1*KCZ18+2*KCH19-1*KCK19,Short,1.2,1.2,0.8,1.05
1*KCH18-2*KCK18+1*KCN18-1*KCZ17+2*KCH18-1*KCK18,Short,1.05,1.35,1,1.35
1*KCH17-2*KCK17+1*KCN17-1*KCZ16+2*KCH17-1*KCK17,Short,0.9,1.35,0.75,1.05
,,,,,
Spread,Trade,Open,High,Low,Close
1*KCN24-2*KCU24+1*KCZ24-1*KCZ24+2*KCH25-1*KCK25,Long,0.1,0.7,-0.05,0.6
1*KCN23-2*KCU23+1*KCZ23-1*KCZ23+2*KCH24-1*KCK24,Long,-0.4,0,-1.3,-0.55
1*KCN22-2*KCU22+1*KCZ22-1*KCZ22+2*KCH23-1*KCK23,Long,0.5,0.75,0.2,0.3
1*KCN21-2*KCU21+1*KCZ21-1*KCZ21+2*KCH22-1*KCK22,Long,1,1.5,0.2,0.6
1*KCN20-2*KCU20+1*KCZ20-1*KCZ20+2*KCH21-1*KCK21,Long,1.9,2.1,1.8,1.9
1*KCN19-2*KCU19+1*KCZ19-1*KCZ19+2*KCH20-1*KCK20,Long,2.25,2.45,2.05,2.4
1*KCN18-2*KCU18+1*KCZ18-1*KCZ18+2*KCH19-1*KCK19,Long,1.95,2.3,1.85,2.2
1*KCN17-2*KCU17+1*KCZ17-1*KCZ17+2*KCH18-1*KCK18,Long,1.4,1.6,1.1,1.5
1*KCN16-2*KCU16+1*KCZ16-1*KCZ16+2*KCH17-1*KCK17,Long,1.6,2.3,1.5,1.65
,,,,,
Spread,Trade,Open,High,Low,Close
1*KCZ24-2*KCH25+1*KCK25-1*KCH25+2*KCK25-1*KCN25,Long,-0.4,1.5,-1.55,0.35
1*KCZ23-2*KCH24+1*KCK24-1*KCH24+2*KCK24-1*KCN24,Long,0.65,0.65,-0.2,0
1*KCZ22-2*KCH23+1*KCK23-1*KCH23+2*KCK23-1*KCN23,Long,0.9,2.55,-0.3,2.3
1*KCZ21-2*KCH22+1*KCK22-1*KCH22+2*KCK22-1*KCN22,Long,-1.25,-0.7,-1.75,-1.15
1*KCZ20-2*KCH21+1*KCK21-1*KCH21+2*KCK21-1*KCN21,Long,-1,0.65,-1.4,0.65
1*KCZ19-2*KCH20+1*KCK20-1*KCH20+2*KCK20-1*KCN20,Long,-1.25,-0.9,-1.25,-0.9
1*KCZ18-2*KCH19+1*KCK19-1*KCH19+2*KCK19-1*KCN19,Long,-1.2,-0.8,-1.2,-1.05
1*KCZ17-2*KCH18+1*KCK18-1*KCH18+2*KCK18-1*KCN18,Long,-1.05,-1,-1.35,-1.35
1*KCZ16-2*KCH17+1*KCK17-1*KCH17+2*KCK17-1*KCN17,Long,-0.9,-0.75,-1.35,-1.05
,,,,,
Spread,Trade,Open,High,Low,Close
1*KCZ24-2*KCH25+1*KCK25-1*KCN24+2*KCU24-1*KCZ24,Short,-0.1,0.05,-0.7,-0.6
1*KCZ23-2*KCH24+1*KCK24-1*KCN23+2*KCU23-1*KCZ23,Short,0.4,1.3,0,0.55
1*KCZ22-2*KCH23+1*KCK23-1*KCN22+2*KCU22-1*KCZ22,Short,-0.5,-0.2,-0.75,-0.3
1*KCZ21-2*KCH22+1*KCK22-1*KCN21+2*KCU21-1*KCZ21,Short,-1,-0.2,-1.5,-0.6
1*KCZ20-2*KCH21+1*KCK21-1*KCN20+2*KCU20-1*KCZ20,Short,-1.9,-1.8,-2.1,-1.9
1*KCZ19-2*KCH20+1*KCK20-1*KCN19+2*KCU19-1*KCZ19,Short,-2.25,-2.05,-2.45,-2.4
1*KCZ18-2*KCH19+1*KCK19-1*KCN18+2*KCU18-1*KCZ18,Short,-1.95,-1.85,-2.3,-2.2
1*KCZ17-2*KCH18+1*KCK18-1*KCN17+2*KCU17-1*KCZ17,Short,-1.4,-1.1,-1.6,-1.5
1*KCZ16-2*KCH17+1*KCK17-1*KCN16+2*KCU16-1*KCZ16,Short,-1.6,-1.5,-2.3,-1.65
,,,,,
Spread,Trade,Open,High,Low,Close
1*NGH24-2*NGJ24+1*NGK24-1*NGU25+2*NGV25-1*NGX25,Long,0.023,0.048,-0.017,-0.003
1*NGH23-2*NGJ23+1*NGK23-1*NGU24+2*NGV24-1*NGX24,Long,0.679,1.61,0.608,1.433
1*NGH22-2*NGJ22+1*NGK22-1*NGU23+2*NGV23-1*NGX23,Long,0.38,0.593,0.362,0.593
1*NGH21-2*NGJ21+1*NGK21-1*NGU22+2*NGV22-1*NGX22,Long,0.185,0.266,0.159,0.266
1*NGH20-2*NGJ20+1*NGK20-1*NGU21+2*NGV21-1*NGX21,Long,0.125,0.177,0.11,0.162
1*NGH19-2*NGJ19+1*NGK19-1*NGU20+2*NGV20-1*NGX20,Long,0.241,0.251,0.194,0.21
1*NGH18-2*NGJ18+1*NGK18-1*NGU19+2*NGV19-1*NGX19,Long,0.318,0.322,0.225,0.295
1*NGH17-2*NGJ17+1*NGK17-1*NGU18+2*NGV18-1*NGX18,Long,0.211,0.211,0.141,0.165
1*NGH16-2*NGJ16+1*NGK16-1*NGU17+2*NGV17-1*NGX17,Long,0.098,0.124,0.084,0.089
,,,,,
Spread,Trade,Open,High,Low,Close
1*NGK24-2*NGM24+1*NGN24-1*NGV25+2*NGX25-1*NGZ25,Short,-0.001,0.009,-0.043,-0.035
1*NGK23-2*NGM23+1*NGN23-1*NGV24+2*NGX24-1*NGZ24,Short,-0.195,-0.169,-0.199,-0.169
1*NGK22-2*NGM22+1*NGN22-1*NGV23+2*NGX23-1*NGZ23,Short,-0.095,-0.072,-0.096,-0.084
1*NGK21-2*NGM21+1*NGN21-1*NGV22+2*NGX22-1*NGZ22,Short,-0.094,-0.088,-0.111,-0.089
1*NGK20-2*NGM20+1*NGN20-1*NGV21+2*NGX21-1*NGZ21,Short,-0.117,-0.11,-0.12,-0.117
1*NGK19-2*NGM19+1*NGN19-1*NGV20+2*NGX20-1*NGZ20,Short,-0.072,-0.061,-0.073,-0.071
1*NGK18-2*NGM18+1*NGN18-1*NGV19+2*NGX19-1*NGZ19,Short,-0.069,-0.067,-0.077,-0.069
1*NGK17-2*NGM17+1*NGN17-1*NGV18+2*NGX18-1*NGZ18,Short,-0.07,-0.07,-0.093,-0.093
1*NGK16-2*NGM16+1*NGN16-1*NGV17+2*NGX17-1*NGZ17,Short,-0.085,-0.07,-0.088,-0.077
,,,,,
Spread,Trade,Open,High,Low,Close
1*NGN24-2*NGQ24+1*NGU24-1*NGV25+2*NGX25-1*NGZ25,Short,-0.085,-0.075,-0.113,-0.1
1*NGN23-2*NGQ23+1*NGU23-1*NGV24+2*NGX24-1*NGZ24,Short,-0.217,-0.2,-0.227,-0.202
1*NGN22-2*NGQ22+1*NGU22-1*NGV23+2*NGX23-1*NGZ23,Short,-0.121,-0.1,-0.122,-0.112
1*NGN21-2*NGQ21+1*NGU21-1*NGV22+2*NGX22-1*NGZ22,Short,-0.127,-0.115,-0.139,-0.115
1*NGN20-2*NGQ20+1*NGU20-1*NGV21+2*NGX21-1*NGZ21,Short,-0.148,-0.139,-0.151,-0.144
1*NGN19-2*NGQ19+1*NGU19-1*NGV20+2*NGX20-1*NGZ20,Short,-0.095,-0.09,-0.098,-0.094
1*NGN18-2*NGQ18+1*NGU18-1*NGV19+2*NGX19-1*NGZ19,Short,-0.1,-0.095,-0.104,-0.097
1*NGN17-2*NGQ17+1*NGU17-1*NGV18+2*NGX18-1*NGZ18,Short,-0.098,-0.098,-0.118,-0.118
,,,,,
1*NGQ25 - 2*NGU25 + 1*NGV25 - 1*NGV25 + 2*NGX25 - 1*NGZ25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGQ25-2*NGU25+1*NGV25-1*NGV25+2*NGX25-1*NGZ25,Long,-0.034,-0.008,-0.047,-0.039
1*NGQ24-2*NGU24+1*NGV24-1*NGV24+2*NGX24-1*NGZ24,Long,0.003,0.055,0.003,0.047
1*NGQ23-2*NGU23+1*NGV23-1*NGV23+2*NGX23-1*NGZ23,Long,-0.013,0.024,-0.02,0.008
1*NGQ22-2*NGU22+1*NGV22-1*NGV22+2*NGX22-1*NGZ22,Long,-0.024,-0.019,-0.028,-0.022
1*NGQ21-2*NGU21+1*NGV21-1*NGV21+2*NGX21-1*NGZ21,Long,-0.05,-0.041,-0.053,-0.049
1*NGQ20-2*NGU20+1*NGV20-1*NGV20+2*NGX20-1*NGZ20,Long,-0.063,-0.051,-0.063,-0.059
1*NGQ19-2*NGU19+1*NGV19-1*NGV19+2*NGX19-1*NGZ19,Long,-0.042,-0.036,-0.044,-0.039
1*NGQ18-2*NGU18+1*NGV18-1*NGV18+2*NGX18-1*NGZ18,Long,-0.036,-0.035,-0.045,-0.035
1*NGQ17-2*NGU17+1*NGV17-1*NGV17+2*NGX17-1*NGZ17,Long,-0.042,-0.032,-0.049,-0.035
1*NGU24 - 2*NGV24 + 1*NGX24 - 1*NGU25 + 2*NGV25 - 1*NGX25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGU24-2*NGV24+1*NGX24-1*NGU25+2*NGV25-1*NGX25,Long,-0.022,0.008,-0.022,-0.003
1*NGU23-2*NGV23+1*NGX23-1*NGU24+2*NGV24-1*NGX24,Long,0.023,0.028,-0.034,-0.011
1*NGU22-2*NGV22+1*NGX22-1*NGU23+2*NGV23-1*NGX23,Long,-0.012,-0.005,-0.032,-0.032
1*NGU21-2*NGV21+1*NGX21-1*NGU22+2*NGV22-1*NGX22,Long,-0.022,-0.01,-0.025,-0.024
1*NGU20-2*NGV20+1*NGX20-1*NGU21+2*NGV21-1*NGX21,Long,0.008,0.01,-0.004,0
1*NGU19-2*NGV19+1*NGX19-1*NGU20+2*NGV20-1*NGX20,Long,0,0.001,-0.013,-0.005
1*NGU18-2*NGV18+1*NGX18-1*NGU19+2*NGV19-1*NGX19,Long,-0.02,-0.008,-0.02,-0.01
1*NGU17-2*NGV17+1*NGX17-1*NGU18+2*NGV18-1*NGX18,Long,-0.032,0,-0.032,-0.006
1*NGU16-2*NGV16+1*NGX16-1*NGU17+2*NGV17-1*NGX17,Long,0,0.008,-0.01,0.003
,,,,,
1*NGU25 - 2*NGV25 + 1*NGX25 - 1*NGH24 + 2*NGJ24 - 1*NGK24,,,,,
Spread,Trade,Open,High,Low,Close
1*NGU25-2*NGV25+1*NGX25-1*NGH24+2*NGJ24-1*NGK24,Short,-0.023,0.017,-0.048,0.003
1*NGU24-2*NGV24+1*NGX24-1*NGH23+2*NGJ23-1*NGK23,Short,-0.679,-0.608,-1.61,-1.433
1*NGU23-2*NGV23+1*NGX23-1*NGH22+2*NGJ22-1*NGK22,Short,-0.38,-0.362,-0.593,-0.593
1*NGU22-2*NGV22+1*NGX22-1*NGH21+2*NGJ21-1*NGK21,Short,-0.185,-0.159,-0.266,-0.266
1*NGU21-2*NGV21+1*NGX21-1*NGH20+2*NGJ20-1*NGK20,Short,-0.125,-0.11,-0.177,-0.162
1*NGU20-2*NGV20+1*NGX20-1*NGH19+2*NGJ19-1*NGK19,Short,-0.241,-0.194,-0.251,-0.21
1*NGU19-2*NGV19+1*NGX19-1*NGH18+2*NGJ18-1*NGK18,Short,-0.318,-0.225,-0.322,-0.295
1*NGU18-2*NGV18+1*NGX18-1*NGH17+2*NGJ17-1*NGK17,Short,-0.211,-0.141,-0.211,-0.165
1*NGU17-2*NGV17+1*NGX17-1*NGH16+2*NGJ16-1*NGK16,Short,-0.098,-0.084,-0.124,-0.089
1*NGU25 - 2*NGV25 + 1*NGX25 - 1*NGU24 + 2*NGV24 - 1*NGX24,,,,,
Spread,Trade,Open,High,Low,Close
1*NGU25-2*NGV25+1*NGX25-1*NGU24+2*NGV24-1*NGX24,Short,0.022,0.022,-0.008,0.003
1*NGU24-2*NGV24+1*NGX24-1*NGU23+2*NGV23-1*NGX23,Short,-0.023,0.034,-0.028,0.011
1*NGU23-2*NGV23+1*NGX23-1*NGU22+2*NGV22-1*NGX22,Short,0.012,0.032,0.005,0.032
1*NGU22-2*NGV22+1*NGX22-1*NGU21+2*NGV21-1*NGX21,Short,0.022,0.025,0.01,0.024
1*NGU21-2*NGV21+1*NGX21-1*NGU20+2*NGV20-1*NGX20,Short,-0.008,0.004,-0.01,0
1*NGU20-2*NGV20+1*NGX20-1*NGU19+2*NGV19-1*NGX19,Short,0,0.013,-0.001,0.005
1*NGU19-2*NGV19+1*NGX19-1*NGU18+2*NGV18-1*NGX18,Short,0.02,0.02,0.008,0.01
1*NGU18-2*NGV18+1*NGX18-1*NGU17+2*NGV17-1*NGX17,Short,0.032,0.032,0,0.006
1*NGU17-2*NGV17+1*NGX17-1*NGU16+2*NGV16-1*NGX16,Short,0,0.01,-0.008,-0.003
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGK24 + 2*NGM24 - 1*NGN24,,,,,
Spread,Trade,Open,High,Low,Close
1*NGV25-2*NGX25+1*NGZ25-1*NGK24+2*NGM24-1*NGN24,Long,0.001,0.043,-0.009,0.035
1*NGV24-2*NGX24+1*NGZ24-1*NGK23+2*NGM23-1*NGN23,Long,0.195,0.199,0.169,0.169
1*NGV23-2*NGX23+1*NGZ23-1*NGK22+2*NGM22-1*NGN22,Long,0.095,0.096,0.072,0.084
1*NGV22-2*NGX22+1*NGZ22-1*NGK21+2*NGM21-1*NGN21,Long,0.094,0.111,0.088,0.089
1*NGV21-2*NGX21+1*NGZ21-1*NGK20+2*NGM20-1*NGN20,Long,0.117,0.12,0.11,0.117
1*NGV20-2*NGX20+1*NGZ20-1*NGK19+2*NGM19-1*NGN19,Long,0.072,0.073,0.061,0.071
1*NGV19-2*NGX19+1*NGZ19-1*NGK18+2*NGM18-1*NGN18,Long,0.069,0.077,0.067,0.069
1*NGV18-2*NGX18+1*NGZ18-1*NGK17+2*NGM17-1*NGN17,Long,0.07,0.093,0.07,0.093
1*NGV17-2*NGX17+1*NGZ17-1*NGK16+2*NGM16-1*NGN16,Long,0.085,0.088,0.07,0.077
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGN24 + 2*NGQ24 - 1*NGU24,,,,,
Spread,Trade,Open,High,Low,Close
1*NGV25-2*NGX25+1*NGZ25-1*NGN24+2*NGQ24-1*NGU24,Long,0.085,0.113,0.075,0.1
1*NGV24-2*NGX24+1*NGZ24-1*NGN23+2*NGQ23-1*NGU23,Long,0.217,0.227,0.2,0.202
1*NGV23-2*NGX23+1*NGZ23-1*NGN22+2*NGQ22-1*NGU22,Long,0.121,0.122,0.1,0.112
1*NGV22-2*NGX22+1*NGZ22-1*NGN21+2*NGQ21-1*NGU21,Long,0.127,0.139,0.115,0.115
1*NGV21-2*NGX21+1*NGZ21-1*NGN20+2*NGQ20-1*NGU20,Long,0.148,0.151,0.139,0.144
1*NGV20-2*NGX20+1*NGZ20-1*NGN19+2*NGQ19-1*NGU19,Long,0.095,0.098,0.09,0.094
1*NGV19-2*NGX19+1*NGZ19-1*NGN18+2*NGQ18-1*NGU18,Long,0.1,0.104,0.095,0.097
1*NGV18-2*NGX18+1*NGZ18-1*NGN17+2*NGQ17-1*NGU17,Long,0.098,0.118,0.098,0.118
1*NGV17-2*NGX17+1*NGZ17-1*NGN16+2*NGQ16-1*NGU16,Long,0.111,0.111,0.092,0.094
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGQ25 + 2*NGU25 - 1*NGV25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGV25-2*NGX25+1*NGZ25-1*NGQ25+2*NGU25-1*NGV25,Short,0.034,0.047,0.008,0.039
1*NGV24-2*NGX24+1*NGZ24-1*NGQ24+2*NGU24-1*NGV24,Short,-0.003,-0.003,-0.055,-0.047
1*NGV23-2*NGX23+1*NGZ23-1*NGQ23+2*NGU23-1*NGV23,Short,0.013,0.02,-0.024,-0.008
1*NGV22-2*NGX22+1*NGZ22-1*NGQ22+2*NGU22-1*NGV22,Short,0.024,0.028,0.019,0.022
1*NGV21-2*NGX21+1*NGZ21-1*NGQ21+2*NGU21-1*NGV21,Short,0.05,0.053,0.041,0.049
1*NGV20-2*NGX20+1*NGZ20-1*NGQ20+2*NGU20-1*NGV20,Short,0.063,0.063,0.051,0.059
1*NGV19-2*NGX19+1*NGZ19-1*NGQ19+2*NGU19-1*NGV19,Short,0.042,0.044,0.036,0.039
1*NGV18-2*NGX18+1*NGZ18-1*NGQ18+2*NGU18-1*NGV18,Short,0.036,0.045,0.035,0.035
1*NGV17-2*NGX17+1*NGZ17-1*NGQ17+2*NGU17-1*NGV17,Short,0.042,0.049,0.032,0.035
1*CLV24 - 1*CLX24 - 1*CLK24 + 1*CLM24,,,,,
Spread,Trade,Open,High,Low,Close
1*CLV24-1*CLX24-1*CLK24+1*CLM24,Short,-0.04,-0.01,-0.09,-0.06
1*CLV23-1*CLX23-1*CLK23+1*CLM23,Short,-0.23,-0.09,-0.28,-0.15
1*CLV22-1*CLX22-1*CLK22+1*CLM22,Short,-0.09,-0.01,-0.12,-0.01
1*CLV21-1*CLX21-1*CLK21+1*CLM21,Short,0,0.11,0,0.1
1*CLV20-1*CLX20-1*CLK20+1*CLM20,Short,-0.08,-0.06,-0.12,-0.11
1*CLV19-1*CLX19-1*CLK19+1*CLM19,Short,-0.06,0.03,-0.06,0.01
1*CLV18-1*CLX18-1*CLK18+1*CLM18,Short,0,0.05,-0.03,0.02
1*CLV17-1*CLX17-1*CLK17+1*CLM17,Short,-0.03,0.06,-0.03,0.03
1*CLV16-1*CLX16-1*CLK16+1*CLM16,Short,0,0.12,-0.02,-0.01
1*CLX24 - 1*CLZ24 - 1*CLV24 + 1*CLX24,,,,,
Spread,Trade,Open,High,Low,Close
1*CLX24-1*CLZ24-1*CLV24+1*CLX24,Long,-0.12,-0.07,-0.3,-0.2
1*CLX23-1*CLZ23-1*CLV23+1*CLX23,Long,0.03,0.06,-0.04,0.05
1*CLX22-1*CLZ22-1*CLV22+1*CLX22,Long,-0.37,0.34,-0.51,0.17
1*CLX21-1*CLZ21-1*CLV21+1*CLX21,Long,-0.18,0.11,-0.19,0.05
